,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300499,高澜股份,0.36,,,,,1820.94,,,01-20
1,601900,南方传媒,0.51,,,13.78,,28777.64,,,01-20
2,001979,招商蛇口,,,,,,171909.43,,,12-28
3,002778,高科石化,0.43,,,8.21,,2841.67,,,12-16
4,300491,通合科技,0.39,,,14.21,,2309.85,,,12-16
5,002777,久远银海,0.5,,,12.88,,3000.57,,,12-16
6,300490,华自科技,0.39,,,10.02,,2923.35,,,12-16
7,002787,华源控股,0.52,,,,,5441.16,,,12-16
8,603778,乾景园林,0.4,,,6.35,,2381.49,,,12-16
9,300494,盛天网络,0.93,,,32.05,,8363.98,,,12-16
10,603866,桃李面包,0.48,,,,,19341.52,,,12-04
11,002785,万里石,0.07,,,,,1104.5,,,12-04
12,300492,山鼎设计,-0.02,,,,,-131.45,,,12-04
13,300497,富祥股份,0.81,,,,,4355.18,,,12-04
14,002786,银宝山新,0.44,,,7.58,,4224.77,,,12-04
15,300493,润欣科技,0.36,,,13.15,,3238.42,,,11-23
16,002779,中坚科技,0.72,,,16.4,,4747.03,,,11-23
17,603696,安记食品,0.46,,,,,4097.98,,,11-23
18,300496,中科创达,1.34,,,34.93,,10027.26,,,11-23
19,603398,邦宝益智,0.55,,,21.67,,3961.06,,,11-23
20,002775,文科园林,0.59,,,,,5333.25,,,10-31
21,603885,吉祥航空,0.87,,,24.1,,43693.39,,,10-31
22,002759,天际股份,0.45,,,,,3261.47,,,10-31
23,603223,恒通股份,0.38,,,10.59,,3420.7,,,10-31
24,002746,仙坛股份,0.37,,,,,4387.88,,,10-31
25,603598,引力传媒,0.43,,,14.81,,4278.53,,,10-30
26,603066,音飞储存,0.43,,,9.23,,3255.1,,,10-30
27,603198,迎驾贡酒,0.48,,,15.06,,34521.02,,,10-30
28,603355,莱克电气,0.71,,,19.73,,25505.25,,,10-30
29,002755,东方新星,0.2,,,,,1520.59,,,10-30
30,601211,国泰君安,0.64,,,10.79,,393349.94,,,10-30
31,603023,威帝股份,1.09,,,31.38,,6547.57,,,10-30
32,002771,真视通,0.55,,,,,3319.86,,,10-30
33,603158,腾龙股份,0.78,,,21.3,,6241.43,,,10-30
34,603300,华铁科技,0.41,,,10.96,,6240.82,,,10-30
35,603618,杭电股份,0.44,,,9.29,,7594.0,,,10-30
36,603022,新通联,0.61,,,15.14,,3631.22,,,10-30
37,603116,红蜻蜓,0.61,,,14.19,,21283.42,,,10-30
38,002770,科迪乳业,0.37,,,,,7482.91,,,10-30
39,603703,盛洋科技,0.53,,,15.67,,3666.53,,,10-30
40,603616,韩建河山,0.61,,,16.32,,6714.12,,,10-30
41,002763,汇洁股份,0.8,,,,,13000.17,,,10-30
42,603026,石大胜华,0.49,,,7.69,,7519.04,0.56,,10-29
43,603989,艾华集团,0.66,,,18.55,,13343.11,,,10-29
44,603589,口子窖,0.65,,,16.97,,35325.05,,,10-29
45,002760,凤形股份,0.39,,,,,2586.33,,,10-29
46,603318,派思股份,0.22,,,7.49,,1970.15,,,10-29
47,002748,世龙实业,0.77,,,,,6935.68,,,10-29
48,002766,索菱股份,0.42,,,,,5746.82,,,10-29
49,603979,金诚信,0.79,,,13.41,,22102.12,,,10-29
50,002741,光华科技,0.51,,,,,4630.2,,,10-29
51,603315,福鞍股份,0.47,,,10.19,,3512.91,,,10-29
52,002758,华通医药,0.68,,,,,2858.81,,,10-29
53,601689,拓普集团,0.61,,,20.32,,31576.12,,,10-29
54,603568,伟明环保,0.48,,,22.53,,19446.62,,,10-29
55,603968,醋化股份,0.57,,,17.31,,8710.33,,,10-29
56,603030,全筑股份,0.2,,,6.79,,2422.63,,,10-28
57,603108,润达医疗,0.63,,,10.53,,4447.9,,,10-28
58,603669,灵康药业,0.49,,,23.76,,9463.73,,,10-28
59,603939,益丰药房,0.81,,,18.59,,9659.14,,,10-28
60,002751,易尚展示,0.27,,,,,2875.32,,,10-28
61,603030,全筑股份,0.2,,,6.79,,2422.63,,,10-28
62,603939,益丰药房,0.81,,,18.59,,9659.14,,,10-28
63,603108,润达医疗,0.63,,,10.53,,4447.9,,,10-28
64,603669,灵康药业,0.49,,,23.76,,9463.73,,,10-28
65,300468,四方精创,0.62,,,,,4679.81,,,10-28
66,000166,申万宏源,0.24,14.29,,,,325953.1,131.95,,10-28
67,603025,大豪科技,0.47,,,22.38,,18414.09,,,10-28
68,603838,四通股份,0.42,,,12.05,,4203.17,,,10-28
69,603789,星光农机,0.83,,,22.68,,12444.29,,,10-28
70,300448,浩云科技,0.16,,,,,948.4,,,10-27
71,002776,柏堡龙,1.06,,,,,8365.91,,,10-27
72,603085,天成自控,0.3,,,11.48,,2274.33,,,10-27
73,300459,金科文化,0.36,,,,,2880.01,,,10-27
74,603599,广信股份,0.91,,,9.89,,12830.32,,,10-27
75,603309,维力医疗,0.72,,,16.42,,5399.83,,,10-27
76,002762,金发拉比,1.29,,,,,6591.13,,,10-27
77,603567,珍宝岛,0.75,,,14.35,,27050.78,,,10-27
78,002773,康弘药业,0.43,,,,,17039.86,,,10-27
79,002761,多喜爱,0.32,,,,,2875.87,,,10-27
80,300427,红相股份,0.1,,,,,657.4,,,10-27
81,300486,东杰智能,0.13,,,,,1335.18,,,10-27
82,300456,耐威科技,0.28,,,,,1785.7,,,10-27
83,300394,天孚通信,1.11,,,,,6552.1,,,10-27
84,300461,田中精机,0.39,,,,,1967.83,,,10-27
85,002765,蓝黛传动,0.32,,,,,5009.77,,,10-27
86,300489,中飞股份,0.83,,,,,2829.37,,,10-26
87,300440,运达科技,0.66,,,,,5584.18,,,10-26
88,002769,普路通,0.56,,,,,7308.03,,,10-26
89,300482,万孚生物,1.17,,,,,7732.6,,,10-26
90,002757,南兴装备,0.57,,,,,4648.84,,,10-26
91,300428,四通新材,0.7,,,,,4245.15,,,10-26
92,300446,乐凯新材,1.3,,,,,5995.03,,,10-26
93,300422,博世科,0.07,,,,,320.82,,,10-26
94,002767,先锋电子,0.66,,,,,4948.84,,,10-26
95,603227,雪峰科技,0.27,,,6.6,,6616.15,,,10-26
96,300467,迅游科技,0.38,,,,,4594.47,,,10-26
97,300426,唐德影视,0.15,,,,,1784.17,,,10-26
98,300479,神思电子,0.37,,,,,2218.36,,,10-26
99,300449,汉邦高科,0.39,,,,,2091.69,,,10-26
100,300430,诚益通,0.71,,,,,3252.63,,,10-24
101,300433,蓝思科技,1.3,,,,,78758.3,,,10-24
102,300487,蓝晓科技,0.63,,,,,3781.29,,,10-24
103,300473,德尔股份,1.6,,,,,12020.32,,,10-24
104,300443,金雷风电,1.64,,,,,7366.08,,,10-24
105,603918,金桥信息,-0.08,,,-2.31,,-524.08,,,10-24
106,300472,新元科技,0.32,,,,,1576.83,,,10-24
107,603901,永创智能,0.69,,,14.58,,5204.66,,,10-24
108,300441,鲍斯股份,0.55,,,,,3478.29,,,10-23
109,300478,杭州高新,0.68,,,,,3406.57,,,10-23
110,300453,三鑫医疗,0.6,,,,,3322.41,,,10-23
111,300470,日机密封,1.59,,,,,6351.04,,,10-23
112,300452,山河药辅,0.67,,,,,2323.35,,,10-23
113,300458,全志科技,0.69,,,,,8295.39,,,10-23
114,300463,迈克生物,1.19,,,,,17602.46,,,10-23
